Period,WPI
2019-03-01,100.0
2019-06-01,100.45731707317076
2019-09-01,101.29573170731709
2019-12-01,101.7530487804878
2020-03-01,102.21036585365854
2020-06-01,102.21036585365854
2020-09-01,102.66768292682926
2020-12-01,103.20121951219514
2021-03-01,103.73475609756098
2021-06-01,104.03963414634147
2021-09-01,104.95426829268293
2021-12-01,105.5640243902439
2022-03-01,106.1737804878049
2022-06-01,106.78353658536585
2022-09-01,108.30792682926831
2022-12-01,109.14634146341464
2023-03-01,109.984756097561
2023-06-01,110.67073170731707
2023-09-01,112.72865853658539
2023-12-01,113.79573170731709
2024-03-01,114.48170731707317
