Sources,Year,Energy Generation,State,Total Generation,Percentage
Total non-renewable,2015,59748.38,NSW,66214.88,90.23
Total renewable,2015,6466.5,NSW,66214.88,9.77
Total non-renewable,2016,57961.69,NSW,67126.0,86.35
Total renewable,2016,9164.31,NSW,67126.0,13.65
Total non-renewable,2017,61673.36,NSW,69533.78,88.7
Total renewable,2017,7860.41,NSW,69533.78,11.3
Total non-renewable,2018,59855.75,NSW,70752.34,84.6
Total renewable,2018,10896.59,NSW,70752.34,15.4
Total non-renewable,2019,59806.31,NSW,72035.96,83.02
Total renewable,2019,12229.66,NSW,72035.96,16.98
Total non-renewable,2020,54728.23,NSW,69397.83,78.86
Total renewable,2020,14669.59,NSW,69397.83,21.14
Total non-renewable,2021,51423.62,NSW,70439.57,73.0
Total renewable,2021,19015.94,NSW,70439.57,27.0
Total non-renewable,2022,49785.29,NSW,72987.74,68.21
Total renewable,2022,23202.45,NSW,72987.74,31.79
Total non-renewable,2023,46074.74,NSW,71528.09,64.41
Total renewable,2023,25453.35,NSW,71528.09,35.59
Total non-renewable,2015,218070.24,AUS,253984.42,85.86
Total renewable,2015,35914.19,AUS,253984.42,14.14
Total non-renewable,2016,216185.24,AUS,258218.69,83.72
Total renewable,2016,42033.45,AUS,258218.69,16.28
Total non-renewable,2017,219529.28,AUS,258967.06,84.77
Total renewable,2017,39437.78,AUS,258967.06,15.23
Total non-renewable,2018,212921.46,AUS,262632.01,81.07
Total renewable,2018,49710.55,AUS,262632.01,18.93
Total non-renewable,2019,210278.4,AUS,265900.2,79.08
Total renewable,2019,55621.8,AUS,265900.2,20.92
Total non-renewable,2020,200493.65,AUS,265162.09,75.61
Total renewable,2020,64668.44,AUS,265162.09,24.39
Total non-renewable,2021,189736.7,AUS,267452.26,70.94
Total renewable,2021,77715.56,AUS,267452.26,29.06
Total non-renewable,2022,184766.08,AUS,272921.75,67.7
Total renewable,2022,88155.66,AUS,272921.75,32.3
Total non-renewable,2023,177142.47,AUS,273105.5,64.86
Total renewable,2023,95963.03,AUS,273105.5,35.14
Total non-renewable,2015,49712.49,VIC,57535.23,86.4
Total renewable,2015,7822.74,VIC,57535.23,13.6
Total non-renewable,2016,47511.64,VIC,57237.24,83.01
Total renewable,2016,9725.6,VIC,57237.24,16.99
Total non-renewable,2017,42598.39,VIC,50965.11,83.58
Total renewable,2017,8366.72,VIC,50965.11,16.42
Total non-renewable,2018,39086.67,VIC,49312.46,79.26
Total renewable,2018,10225.79,VIC,49312.46,20.74
Total non-renewable,2019,37313.42,VIC,48783.19,76.49
Total renewable,2019,11469.76,VIC,48783.19,23.51
Total non-renewable,2020,36653.47,VIC,50530.8,72.54
Total renewable,2020,13877.33,VIC,50530.8,27.46
Total non-renewable,2021,35333.08,VIC,53097.33,66.54
Total renewable,2021,17764.25,VIC,53097.33,33.46
Total non-renewable,2022,34670.79,VIC,55322.5,62.67
Total renewable,2022,20651.71,VIC,55322.5,37.33
Total non-renewable,2023,33044.84,VIC,55155.58,59.91
Total renewable,2023,22110.74,VIC,55155.58,40.09
Total non-renewable,2015,63219.09,QLD,67327.51,93.9
Total renewable,2015,4108.43,QLD,67327.51,6.1
Total non-renewable,2016,63589.12,QLD,67894.91,93.66
Total renewable,2016,4305.8,QLD,67894.91,6.34
Total non-renewable,2017,65269.8,QLD,69994.2,93.25
Total renewable,2017,4724.4,QLD,69994.2,6.75
Total non-renewable,2018,64387.05,QLD,70574.17,91.23
Total renewable,2018,6187.12,QLD,70574.17,8.77
Total non-renewable,2019,61679.05,QLD,71066.46,86.79
Total renewable,2019,9387.41,QLD,71066.46,13.21
Total non-renewable,2020,59600.21,QLD,70836.94,84.14
Total renewable,2020,11236.73,QLD,70836.94,15.86
Total non-renewable,2021,56183.31,QLD,69453.9,80.89
Total renewable,2021,13270.58,QLD,69453.9,19.11
Total non-renewable,2022,53945.12,QLD,69412.85,77.72
Total renewable,2022,15467.73,QLD,69412.85,22.28
Total non-renewable,2023,53052.84,QLD,72164.21,73.52
Total renewable,2023,19111.37,QLD,72164.21,26.48
