Period,Total Assets,Overseas assets,Units in trusts,Shares,"Land, buildings and equipment",Deposits,Others
2019Q1,2845639,18.87,27.53,16.59,10.3,8.53,18.18
2019Q2,2948700,19.42,27.54,16.93,10.06,8.46,17.59
2019Q3,3020729,19.95,27.46,16.93,10.07,8.41,17.18
2019Q4,3076706,20.54,27.06,16.71,10.19,8.14,17.36
2020Q1,2909683,20.96,25.65,13.62,10.81,9.7,19.26
2020Q2,2990186,20.28,25.48,15.57,10.33,9.64,18.7
2020Q3,3004179,20.3,26.08,15.66,10.34,9.32,18.3
2020Q4,3153638,20.7,26.01,17.33,10.0,8.44,17.52
2021Q1,3249674,21.47,25.88,17.68,9.9,8.16,16.91
2021Q2,3415766,22.0,25.86,18.44,9.82,7.93,15.95
2021Q3,3487112,22.46,25.9,18.34,9.92,7.51,15.87
2021Q4,3575036,22.87,25.63,18.48,10.18,7.15,15.69
2022Q1,3549403,22.08,25.19,19.17,10.34,7.19,16.03
2022Q2,3429851,21.87,24.81,17.55,10.78,8.15,16.84
2022Q3,3444398,21.73,24.65,17.84,10.55,8.13,17.1
2022Q4,3526404,21.64,24.66,18.66,10.24,7.99,16.81
2023Q1,3637893,22.36,24.5,18.44,9.9,8.03,16.77
2023Q2,3713711,23.33,24.2,18.2,9.66,8.11,16.5
2023Q3,3731578,23.11,23.89,18.01,9.63,8.29,17.07
2023Q4,3883663,23.69,23.33,18.64,9.2,8.07,17.07
