Period,Median Price of Established House Transfers (Unstratified) ;  Sydney ;,Median Price of Established House Transfers (Unstratified) ;  Melbourne ;,Median Price of Established House Transfers (Unstratified) ;  Brisbane ;,Median Price of Established House Transfers (Unstratified) ;  Adelaide ;,Median Price of Established House Transfers (Unstratified) ;  Perth ;,Median Price of Established House Transfers (Unstratified) ;  Hobart ;,Median Price of Established House Transfers (Unstratified) ;  Darwin ;,Median Price of Established House Transfers (Unstratified) ;  Canberra ;
Sep-14,730,505,451,410,530,345,570,554
Dec-14,816,552.5,467,425,531,356.5,581,570
Mar-15,792.5,525,462.8,415.5,536.5,360,570,585
Jun-15,860,561,465,420,537,350,595,580
Sep-15,888.2,580,475,427.5,520,340,580,587.5
Dec-15,915,612.3,490,436,525,370,575,615
Mar-16,850,568,483.5,436,518,360,570,590
Jun-16,895,610,495,440,520,365,548,623
Sep-16,900,605,500,445,510,370,520,615.8
Dec-16,985.5,675,515,447,525,392,522,636
Mar-17,930,657.5,510,451.3,510,389.5,530,654.5
Jun-17,1050,720,518,450,506,400,500,670
Sep-17,950,692,525,451,500,395,500,667.5
Dec-17,1029,750,535,470,515,421,513.8,690
Mar-18,955,731,526,465,510,449,500,698.5
Jun-18,973.1,750,532,468,510,457.8,506,690
Sep-18,950,720,540,466.3,485,440.3,500,700
Dec-18,940,735,540,480,489,465,510,720
Mar-19,870,685,533,475,490,471.5,485,690
Jun-19,897,700,538,478.5,480,490,470,715
Sep-19,900,705,540,474,478,480,489,676
Dec-19,985,760,550,485,495,517,470,745
Mar-20,947.5,730,540,472,477.5,529,470,720.5
Jun-20,955,720,547,487.5,475,520,465,720
Sep-20,945,710,555,500,495,528.5,500,755
Dec-20,999,760,575,512.5,528,567.7,522.5,785
Mar-21,1052,800,600,523,535,610,535,835
Jun-21,1206.4,830,630,550,540,630,565,905
Sep-21,1300,840,657,580,525,700,580,940
Dec-21,1360,940,750,630,558.8,754,600,1040
Mar-22,1325,888,765,650,550,765,600,1080
Jun-22,1350,900,773,663,565,765,585,1059
Sep-22,1300,850,750,654.8,555,720,560,1000
Dec-22,1300,875,750,675,580,731,590,1000
Mar-23,1260,835,756.5,680,577.5,705,575,985
Jun-23,1360,842.7,775,705,600,698,590,984.5
Sep-23,1375,840,800,715,620,699,585,985
Dec-23,1420,867.5,830,760,671,702,586,999.4
Mar-24,1405,850,852,775,705,705,570,985
Jun-24,1450,850,890,800,760,676,585,990
Sep-24,1365,785,880,812.3,776.5,680,555,975
